entity,iso_code,year,population,source
Low income,OWID_LIC,2021,701926970,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
Lower middle income,OWID_LMC,2021,3363196660,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
Luxembourg,LUX,2021,639321,https://population.un.org/wpp/Download/Standard/CSV/
Macao,MAC,2021,686607,https://population.un.org/wpp/Download/Standard/CSV/
Madagascar,MDG,2021,28915653,https://population.un.org/wpp/Download/Standard/CSV/
Malawi,MWI,2021,19889742,https://population.un.org/wpp/Download/Standard/CSV/
Malaysia,MYS,2021,33573874,https://population.un.org/wpp/Download/Standard/CSV/
Maldives,MDV,2021,521458,https://population.un.org/wpp/Download/Standard/CSV/
Mali,MLI,2021,21904983,https://population.un.org/wpp/Download/Standard/CSV/
Malta,MLT,2021,526748,https://population.un.org/wpp/Download/Standard/CSV/
Marshall Islands,MHL,2021,42050,https://population.un.org/wpp/Download/Standard/CSV/
Mauritania,MRT,2021,4614974,https://population.un.org/wpp/Download/Standard/CSV/
Mauritius,MUS,2021,1298915,https://population.un.org/wpp/Download/Standard/CSV/
Mexico,MEX,2021,126705138,https://population.un.org/wpp/Download/Standard/CSV/
Micronesia (country),FSM,2021,113131,https://population.un.org/wpp/Download/Standard/CSV/
Moldova,MDA,2021,3061506,https://population.un.org/wpp/Download/Standard/CSV/
Monaco,MCO,2021,36686,https://population.un.org/wpp/Download/Standard/CSV/
Mongolia,MNG,2021,3347782,https://population.un.org/wpp/Download/Standard/CSV/
Montenegro,MNE,2021,627859,https://population.un.org/wpp/Download/Standard/CSV/
Montserrat,MSR,2021,4417,https://population.un.org/wpp/Download/Standard/CSV/
Morocco,MAR,2021,37076584,https://population.un.org/wpp/Download/Standard/CSV/
Mozambique,MOZ,2021,32077072,https://population.un.org/wpp/Download/Standard/CSV/
Myanmar,MMR,2021,53798084,https://population.un.org/wpp/Download/Standard/CSV/
Namibia,NAM,2021,2530151,https://population.un.org/wpp/Download/Standard/CSV/
Nauru,NRU,2021,12512,https://population.un.org/wpp/Download/Standard/CSV/
Nepal,NPL,2021,30034989,https://population.un.org/wpp/Download/Standard/CSV/
Netherlands,NLD,2021,17501696,https://population.un.org/wpp/Download/Standard/CSV/
New Caledonia,NCL,2021,287800,https://population.un.org/wpp/Download/Standard/CSV/
New Zealand,NZL,2021,5129728,https://population.un.org/wpp/Download/Standard/CSV/
Nicaragua,NIC,2021,6850540,https://population.un.org/wpp/Download/Standard/CSV/
Niger,NER,2021,25252722,https://population.un.org/wpp/Download/Standard/CSV/
Nigeria,NGA,2021,213401323,https://population.un.org/wpp/Download/Standard/CSV/
Niue,NIU,2021,1937,https://population.un.org/wpp/Download/Standard/CSV/
North America,OWID_NAM,2021,596315269,https://population.un.org/wpp/Download/Standard/CSV/
North Korea,PRK,2021,25971909,https://population.un.org/wpp/Download/Standard/CSV/
North Macedonia,MKD,2021,2103330,https://population.un.org/wpp/Download/Standard/CSV/
Northern Mariana Islands,MNP,2021,49481,https://population.un.org/wpp/Download/Standard/CSV/
Norway,NOR,2021,5403021,https://population.un.org/wpp/Download/Standard/CSV/
Oceania,OWID_OCE,2021,44491772,https://population.un.org/wpp/Download/Standard/CSV/
Oman,OMN,2021,4520471,https://population.un.org/wpp/Download/Standard/CSV/
Pakistan,PAK,2021,231402116,https://population.un.org/wpp/Download/Standard/CSV/
Palau,PLW,2021,18024,https://population.un.org/wpp/Download/Standard/CSV/
Palestine,PSE,2021,5133392,https://population.un.org/wpp/Download/Standard/CSV/
Panama,PAN,2021,4351267,https://population.un.org/wpp/Download/Standard/CSV/
Papua New Guinea,PNG,2021,9949437,https://population.un.org/wpp/Download/Standard/CSV/
Paraguay,PRY,2021,6703799,https://population.un.org/wpp/Download/Standard/CSV/
Peru,PER,2021,33715472,https://population.un.org/wpp/Download/Standard/CSV/
Philippines,PHL,2021,113880328,https://population.un.org/wpp/Download/Standard/CSV/
Pitcairn,PCN,2021,47,https://www.bbc.com/news/uk-56923016
Poland,POL,2021,38307726,https://population.un.org/wpp/Download/Standard/CSV/
Portugal,PRT,2021,10290103,https://population.un.org/wpp/Download/Standard/CSV/
Puerto Rico,PRI,2021,3256028,https://population.un.org/wpp/Download/Standard/CSV/
Qatar,QAT,2021,2688235,https://population.un.org/wpp/Download/Standard/CSV/
Romania,ROU,2021,19328560,https://population.un.org/wpp/Download/Standard/CSV/
Russia,RUS,2021,145102755,https://population.un.org/wpp/Download/Standard/CSV/
Rwanda,RWA,2021,13461888,https://population.un.org/wpp/Download/Standard/CSV/
Saint Helena,SHN,2021,5404,https://population.un.org/wpp/Download/Standard/CSV/
Saint Kitts and Nevis,KNA,2021,47606,https://population.un.org/wpp/Download/Standard/CSV/
Saint Lucia,LCA,2021,179652,https://population.un.org/wpp/Download/Standard/CSV/
Saint Pierre and Miquelon,SPM,2021,5883,https://population.un.org/wpp/Download/Standard/CSV/
Saint Vincent and the Grenadines,VCT,2021,104332,https://population.un.org/wpp/Download/Standard/CSV/
Samoa,WSM,2021,218764,https://population.un.org/wpp/Download/Standard/CSV/
San Marino,SMR,2021,33746,https://population.un.org/wpp/Download/Standard/CSV/
Sao Tome and Principe,STP,2021,223107,https://population.un.org/wpp/Download/Standard/CSV/
Saudi Arabia,SAU,2021,35950396,https://population.un.org/wpp/Download/Standard/CSV/
Senegal,SEN,2021,16876720,https://population.un.org/wpp/Download/Standard/CSV/
Serbia,SRB,2021,6871547,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
Seychelles,SYC,2021,106470,https://population.un.org/wpp/Download/Standard/CSV/
Sierra Leone,SLE,2021,8420641,https://population.un.org/wpp/Download/Standard/CSV/
Singapore,SGP,2021,5453600,https://www.singstat.gov.sg/find-data/search-by-theme/population/population-and-population-structure/latest-data
Sint Maarten (Dutch part),SXM,2021,44042,https://population.un.org/wpp/Download/Standard/CSV/
Slovakia,SVK,2021,5447622,https://population.un.org/wpp/Download/Standard/CSV/
Slovenia,SVN,2021,2119410,https://population.un.org/wpp/Download/Standard/CSV/
Solomon Islands,SLB,2021,707851,https://population.un.org/wpp/Download/Standard/CSV/
Somalia,SOM,2021,17065581,https://population.un.org/wpp/Download/Standard/CSV/
South Africa,ZAF,2021,59392255,https://population.un.org/wpp/Download/Standard/CSV/
South America,OWID_SAM,2021,433956670,https://population.un.org/wpp/Download/Standard/CSV/
South Korea,KOR,2021,51830139,https://population.un.org/wpp/Download/Standard/CSV/
South Sudan,SSD,2021,10748272,https://population.un.org/wpp/Download/Standard/CSV/
Spain,ESP,2021,47486935,https://population.un.org/wpp/Download/Standard/CSV/
Sri Lanka,LKA,2021,21773441,https://population.un.org/wpp/Download/Standard/CSV/
Sudan,SDN,2021,45657202,https://population.un.org/wpp/Download/Standard/CSV/
Suriname,SUR,2021,612984,https://population.un.org/wpp/Download/Standard/CSV/
Sweden,SWE,2021,10467097,https://population.un.org/wpp/Download/Standard/CSV/
Switzerland,CHE,2021,8691406,https://population.un.org/wpp/Download/Standard/CSV/
Syria,SYR,2021,21324367,https://population.un.org/wpp/Download/Standard/CSV/
Taiwan,TWN,2021,23859912,https://population.un.org/wpp/Download/Standard/CSV/
Tajikistan,TJK,2021,9750064,https://population.un.org/wpp/Download/Standard/CSV/
Tanzania,TZA,2021,63588334,https://population.un.org/wpp/Download/Standard/CSV/
Thailand,THA,2021,71601103,https://population.un.org/wpp/Download/Standard/CSV/
Timor,TLS,2021,1320942,https://population.un.org/wpp/Download/Standard/CSV/
Togo,TGO,2021,8644829,https://population.un.org/wpp/Download/Standard/CSV/
Tokelau,TKL,2021,1849,https://population.un.org/wpp/Download/Standard/CSV/
Tonga,TON,2021,106017,https://population.un.org/wpp/Download/Standard/CSV/
Trinidad and Tobago,TTO,2021,1525663,https://population.un.org/wpp/Download/Standard/CSV/
Tunisia,TUN,2021,12262946,https://population.un.org/wpp/Download/Standard/CSV/
Turkey,TUR,2021,84775404,https://population.un.org/wpp/Download/Standard/CSV/
Turkmenistan,TKM,2021,6341855,https://population.un.org/wpp/Download/Standard/CSV/
Turks and Caicos Islands,TCA,2021,45114,https://population.un.org/wpp/Download/Standard/CSV/
Tuvalu,TUV,2021,11204,https://population.un.org/wpp/Download/Standard/CSV/
Uganda,UGA,2021,45853778,https://population.un.org/wpp/Download/Standard/CSV/
Ukraine,UKR,2021,43531422,https://population.un.org/wpp/Download/Standard/CSV/
United Arab Emirates,ARE,2021,9365144,https://population.un.org/wpp/Download/Standard/CSV/
United Kingdom,GBR,2021,67281040,https://population.un.org/wpp/Download/Standard/CSV/
United States,USA,2021,336997624,https://population.un.org/wpp/Download/Standard/CSV/
United States Virgin Islands,VIR,2021,100091,https://population.un.org/wpp/Download/Standard/CSV/
Upper middle income,OWID_UMC,2021,2501427940,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
Uruguay,URY,2021,3426260,https://population.un.org/wpp/Download/Standard/CSV/
Uzbekistan,UZB,2021,34081449,https://population.un.org/wpp/Download/Standard/CSV/
Vanuatu,VUT,2021,319136,https://population.un.org/wpp/Download/Standard/CSV/
Vatican,VAT,2021,511,https://population.un.org/wpp/Download/Standard/CSV/
Venezuela,VEN,2021,28199866,https://population.un.org/wpp/Download/Standard/CSV/
Vietnam,VNM,2021,97468028,https://population.un.org/wpp/Download/Standard/CSV/
Wallis and Futuna,WLF,2021,11627,https://population.un.org/wpp/Download/Standard/CSV/
Western Sahara,ESH,2021,565581,https://population.un.org/wpp/Download/Standard/CSV/
World,OWID_WRL,2021,7909295152,https://population.un.org/wpp/Download/Standard/CSV/
World excl. China,OWID_WEC,2021,6483401688,https://population.un.org/wpp/Download/Standard/CSV/
Yemen,YEM,2021,32981641,https://population.un.org/wpp/Download/Standard/CSV/
Zambia,ZMB,2021,19473125,https://population.un.org/wpp/Download/Standard/CSV/
Zimbabwe,ZWE,2021,15993524,https://population.un.org/wpp/Download/Standard/CSV/
